track_id,method,nmse_vs_admm,mae_vs_admm,output_peak,output_rms_db,detectability_vs_admm,peaq_odg_vs_admm
000148,input_reference,2.1823468752607733e-35,1.0218217036830103e-20,0.699999988079071,-10.20867919921875,2.1339728649588745e-32,
000148,admm,0.0,0.0,0.699999988079071,-10.20867919921875,0.0,
000148,dsp_fast,0.1251038759946823,0.09214191138744354,0.4524098038673401,-14.0,37.25351052807299,
000148,waveunet_stage1,0.15118169784545898,0.08207360655069351,0.9254000782966614,-10.819411277770996,33.13587684459628,
000148,vae_plain_cyclical,0.03653651103377342,0.046151090413331985,0.6945889592170715,-11.681670188903809,29.87980181512133,
000197,input_reference,2.5170729094603766e-35,1.1605270484904386e-20,0.699999988079071,-9.496883392333984,2.5145101793981104e-32,
000197,admm,0.0,0.0,0.699999988079071,-9.496883392333984,0.0,
000197,dsp_fast,0.12872694432735443,0.10154002159833908,0.44885021448135376,-13.356815338134766,38.94278624349949,
000197,waveunet_stage1,0.1468713879585266,0.08854418992996216,0.9791092276573181,-10.050736427307129,34.6321221427155,
000197,vae_plain_cyclical,0.03754609450697899,0.0510990172624588,0.719444990158081,-10.987676620483398,34.159463866699205,
000211,input_reference,2.2156857432394536e-35,9.660310370850795e-21,0.699999988079071,-10.005548477172852,2.214300455812527e-32,
000211,admm,0.0,0.0,0.699999988079071,-10.005548477172852,0.0,
000211,dsp_fast,0.12943503260612488,0.09593864530324936,0.44816040992736816,-13.878837585449219,39.277635027763715,
000211,waveunet_stage1,0.10891582816839218,0.07192175835371017,0.8629908561706543,-10.555692672729492,30.383156180838245,
000211,vae_plain_cyclical,0.036406684666872025,0.04730873182415962,0.7047435641288757,-11.479195594787598,31.481277038198723,
000438,input_reference,2.2304012335550697e-35,1.1330419531544469e-20,0.699999988079071,-9.485220909118652,2.0494207535975832e-32,
000438,admm,0.0,0.0,0.699999988079071,-9.485220909118652,0.0,
000438,dsp_fast,0.132735475897789,0.10327956825494766,0.4449698328971863,-13.420570373535156,40.85886264618968,
000438,waveunet_stage1,0.12699081003665924,0.08369382470846176,0.9794098138809204,-9.970243453979492,31.63547575736665,
000438,vae_plain_cyclical,0.03727773204445839,0.05105728656053543,0.7284966111183167,-10.974899291992188,33.57049940604372,
000643,input_reference,2.0134977015458025e-35,9.340006489065943e-21,0.699999988079071,-9.81481647491455,1.8086023083108447e-32,
000643,admm,0.0,0.0,0.699999988079071,-9.81481647491455,0.0,
000643,dsp_fast,0.13405202329158783,0.0998140498995781,0.4437081515789032,-13.77482795715332,41.4991319963901,
000643,waveunet_stage1,0.11026953905820847,0.07508344948291779,0.9563050270080566,-10.311699867248535,29.732150864955027,
000643,vae_plain_cyclical,0.03651868551969528,0.048547618091106415,0.6845089793205261,-11.291570663452148,31.466693245001903,
000675,input_reference,2.677453558992916e-35,1.271894962625913e-20,0.699999988079071,-9.928955078125,2.59609516978402e-32,
000675,admm,0.0,0.0,0.699999988079071,-9.928955078125,0.0,
000675,dsp_fast,0.13464221358299255,0.09863609075546265,0.44314461946487427,-13.900007247924805,41.78791815505281,
000675,waveunet_stage1,0.20239055156707764,0.09756749123334885,1.0323641300201416,-10.511348724365234,37.628352386750805,
000675,vae_plain_cyclical,0.03703365847468376,0.04789525642991066,0.698755145072937,-11.402605056762695,31.49367055383439,
001282,input_reference,1.9627583029325868e-35,9.188387675517954e-21,0.699999988079071,-9.795561790466309,1.8524163136094436e-32,
001282,admm,0.0,0.0,0.699999988079071,-9.795561790466309,0.0,
001282,dsp_fast,0.13587677478790283,0.10085634142160416,0.44196972250938416,-13.789671897888184,42.39558206615291,
001282,waveunet_stage1,0.16765005886554718,0.09102221578359604,1.012671947479248,-10.391828536987305,33.97563691978331,
001282,vae_plain_cyclical,0.037557847797870636,0.04926056042313576,0.6907393932342529,-11.286297798156738,32.92119768373803,
001310,input_reference,2.1756430275342027e-35,9.934341413740262e-21,0.699999988079071,-9.77283763885498,2.0915936491768363e-32,
001310,admm,0.0,0.0,0.699999988079071,-9.77283763885498,0.0,
001310,dsp_fast,0.13711188733577728,0.10148021578788757,0.44079962372779846,-13.789973258972168,43.00837830938511,
001310,waveunet_stage1,0.14466319978237152,0.08512049913406372,0.9215214252471924,-10.402597427368164,33.53952193163436,
001310,vae_plain_cyclical,0.037351496517658234,0.049332600086927414,0.7107750177383423,-11.261592864990234,33.457757892947015,
001522,input_reference,2.0979171944031104e-35,1.0285494124053227e-20,0.699999988079071,-9.63871955871582,2.0828017097322343e-32,
001522,admm,0.0,0.0,0.699999988079071,-9.63871955871582,0.0,
001522,dsp_fast,0.13892947137355804,0.10376522690057755,0.43908727169036865,-13.689661979675293,43.919070219303414,
001522,waveunet_stage1,0.13224321603775024,0.08362177759408951,0.9818602800369263,-10.246103286743164,30.64323579052223,
001522,vae_plain_cyclical,0.03728111833333969,0.050145506858825684,0.6862073540687561,-11.125007629394531,34.42086340159427,
001626,input_reference,2.469579895636346e-35,1.1230980951246944e-20,0.699999988079071,-9.87059211730957,2.2953746376931325e-32,
001626,admm,0.0,0.0,0.699999988079071,-9.87059211730957,0.0,
001626,dsp_fast,0.1393502950668335,0.10110562294721603,0.4386923909187317,-13.929349899291992,44.13144531668876,
001626,waveunet_stage1,0.11879266053438187,0.07730473577976227,0.8678484559059143,-10.447860717773438,30.089518629647028,
001626,vae_plain_cyclical,0.036775778979063034,0.0484023317694664,0.6858768463134766,-11.349596977233887,32.34307893349473,
001694,input_reference,2.969958797805734e-35,1.2379611704656321e-20,0.699999988079071,-9.633338928222656,2.666701842115336e-32,
001694,admm,0.0,0.0,0.699999988079071,-9.633338928222656,0.0,
001694,dsp_fast,0.1409846395254135,0.1045859307050705,0.4371645450592041,-13.722400665283203,44.96166259338619,
001694,waveunet_stage1,0.13076932728290558,0.08408627659082413,0.9068836569786072,-10.176545143127441,29.236963023154807,
001694,vae_plain_cyclical,0.0370899960398674,0.0500931441783905,0.6923714876174927,-11.118415832519531,33.15587920515758,
003354,input_reference,2.936634566109254e-35,1.1855179196297702e-20,0.699999988079071,-9.80736255645752,3.0064706349783427e-32,
003354,admm,0.0,0.0,0.699999988079071,-9.80736255645752,0.0,
003354,dsp_fast,0.14154110848903656,0.1027536690235138,0.43664634227752686,-13.90672779083252,45.2463330208038,
003354,waveunet_stage1,0.2059648483991623,0.10002956539392471,1.013067364692688,-10.418556213378906,37.789123242775226,
003354,vae_plain_cyclical,0.03719574958086014,0.04878431186079979,0.7101399898529053,-11.282548904418945,32.669807643325996,
003536,input_reference,2.3276192942386584e-35,1.1617249255708633e-20,0.699999988079071,-9.52367115020752,2.26226016466687e-32,
003536,admm,0.0,0.0,0.699999988079071,-9.52367115020752,0.0,
003536,dsp_fast,0.14354157447814941,0.1070178747177124,0.43479183316230774,-13.660005569458008,46.27808613108372,
