method,avg_nmse_vs_admm,avg_mae_vs_admm,avg_detectability_vs_admm
admm,0.0,0.0,0.0
input_reference,0.00026992790721118784,0.000367586613574489,0.2639532978908759
vae_plain_cyclical,0.03680064097046848,0.049174698144197414,32.75255318020497
waveunet_stage1,0.15263066500425335,0.0875598788261413,33.22095784314361
dsp_fast,0.14059179961681362,0.10324956923723218,44.551893820912646
