model,mae,mse,rmse,nmse,peak,rms
band_controller,0.006576294079422951,8.0811747466214e-05,0.008989535442180202,0.0022313417866826057,0.9899436235427856,0.19067516922950745
ddsp_controller,0.006710818503051996,8.376668847631663e-05,0.00915241435230708,0.0023129323963075876,0.9900000691413879,0.19083766639232635
waveunet,0.00876672938466072,0.00014871328312437981,0.012194805579605597,0.004106211941689253,1.0276297330856323,0.18474720418453217
vae_waveunet,0.012667570263147354,0.00043467420618981123,0.02084884184288929,0.012002050876617432,0.9751178622245789,0.18793992698192596
dsp_tiny_residual,0.03060339018702507,0.002183526288717985,0.04672821726449646,0.060290656983852386,0.8419349789619446,0.15523657202720642
