epoch,beta_kl,free_bits_enabled,train_total,train_reconstruction,train_mrstft,train_kl_raw,train_kl,train_kl_weighted,train_l1,train_nmse,val_total,val_reconstruction,val_mrstft,val_kl_raw,val_kl,val_kl_weighted,val_l1,val_nmse,val_nmse_metric,val_mae_metric,val_loss,time
1,0.0,True,2.4167661581381386,0.1540724083702086,2.262693749955926,4.4097397707373025,282.2233437465957,0.0,0.055488248987699725,0.09858415922419642,3.127113694673056,0.12095049441188246,3.0061632041092756,5.992949052826389,383.54873801849703,0.0,0.046295194405612056,0.07465530010861354,0.07465530010861354,0.046295194405612056,3.127113694673056,23.771994590759277
2,1e-05,True,2.300321955446545,0.13410526918739596,2.1578365214475754,13.094005812686753,838.0163706745285,0.008380163706745285,0.04880658244023998,0.08529868673478781,3.0372426945429583,0.09456188084332498,2.939704806922556,4.650021265823763,297.6013612118396,0.002976013612118395,0.03888308095162386,0.055678800045215825,0.055678800045215825,0.03888308095162386,3.0372426945429583,22.214967250823975
3,2e-05,True,2.2556536056764256,0.1153877916217721,2.1180402952361392,17.3636885119941,1111.2760644433984,0.02222552128886799,0.044486770871408274,0.07090102076767925,3.0262056395902737,0.09182523154131658,2.920163558079646,11.106905765258348,710.8419754531358,0.014216839509062718,0.03664420303571355,0.055181027840372626,0.055181027840372626,0.03664420303571355,3.0262056395902737,21.544886112213135
4,3e-05,True,2.238678701528673,0.11772104765809231,2.088495335255961,16.907457905144962,1082.077309333629,0.03246231928000887,0.043879416910993306,0.0738416306852582,2.9618295958408942,0.08681915291063078,2.8634477924187105,6.022211628955799,385.4215436243749,0.01156264630873125,0.035648877190037086,0.05117027532145545,0.05117027532145545,0.035648877190037086,2.9618295958408942,21.531297206878662
5,4e-05,True,2.2191420055797217,0.1221184766249036,2.057076883506015,15.604157965813341,998.6661068940384,0.03994664427576151,0.04544931470081309,0.07666916209229752,2.960299530199596,0.10362309360733399,2.830505582329991,10.222982961889151,654.2709091312282,0.026170836365249132,0.04028447555726046,0.0633386178863245,0.0633386178863245,0.04028447555726046,2.960299530199596,21.550821542739868
6,5e-05,True,2.200775221366173,0.12925102019986784,2.013742217346333,18.05687157503004,1155.639783395714,0.057781989169785664,0.046107442389090224,0.0831435777266741,2.9370838285802483,0.09685975618169203,2.800822676865609,12.312935693087159,788.0278653050517,0.03940139326525259,0.037437337440448804,0.059422418587728516,0.059422418587728516,0.037437337440448804,2.9370838285802483,22.064747095108032
7,5e-05,True,2.1650120444190137,0.12273412686123317,1.9775681910445173,20.22179012501224,1294.194568892399,0.06470972844461999,0.04512055306528431,0.07761357365000454,2.9228255381950965,0.10475060112446874,2.7608915885071177,17.869795877363657,1143.6669456251375,0.057183347281256874,0.03932665222948724,0.06542394817857952,0.06542394817857952,0.03932665222948724,2.9228255381950965,21.52042031288147
8,5e-05,True,2.1469654134545193,0.11836758958470141,1.9494804838897382,24.72417034032652,1582.3469102107197,0.07911734551053597,0.04464099686073354,0.0737265925582345,2.845032566196316,0.08684955371523297,2.702147365435139,17.511137399699663,1120.7127925327845,0.05603563962663924,0.03598368532218776,0.05086586903780699,0.05086586903780699,0.03598368532218776,2.845032566196316,21.581233024597168
9,5e-05,True,2.142841799009052,0.11875481597812053,1.928423896095509,29.89471591326345,1913.2618242848916,0.09566309121424457,0.045431251421194786,0.07332356457176753,2.817887557076884,0.09358689418205848,2.664274899514167,18.758048400774108,1200.5150823069143,0.06002575411534574,0.03887931054846926,0.054707583060467635,0.054707583060467635,0.03887931054846926,2.817887557076884,21.473693370819092
10,5e-05,True,2.124693113019267,0.11295681523968024,1.908420820476841,32.2860876212557,2066.3095996547663,0.10331547998273832,0.04376851689629504,0.06918829830380709,2.7817638919248684,0.08837900838845379,2.629711242331253,19.898021213300936,1273.4733592232506,0.06367366796116254,0.036118473417565716,0.0522605347764361,0.0522605347764361,0.036118473417565716,2.7817638919248684,21.63255786895752
11,0.0,True,1.9482678022992563,0.11265335287923516,1.835614446783129,38.75964309368159,2480.6171545912703,0.0,0.04326435312094441,0.06938899981765792,2.6724382930404538,0.09199290157674433,2.5804453935924467,27.34565304203348,1750.1217917557601,0.0,0.03741094620468525,0.05458195542323065,0.05458195542323065,0.03741094620468525,2.6724382930404538,22.2290141582489
12,1e-05,True,1.9450424931755421,0.1100230683952293,1.8095914030455023,39.73129215975048,2542.8026956302397,0.02542802695630242,0.04253442521401215,0.0674886432010062,2.643149809850441,0.08625680957357962,2.5419952325768524,23.27777225434125,1489.777411701915,0.014897774117019152,0.036356801842595196,0.04990000759793834,0.04990000759793834,0.036356801842595196,2.643149809850441,21.949153661727905
13,2e-05,True,1.989804220072935,0.11014908378026084,1.8263895793423393,41.6137181062939,2663.2779712854312,0.053265559425708604,0.042905518520440396,0.06724356515345424,2.657909088409864,0.08440553828828283,2.5466268946836284,20.99738411130486,1343.8325989272569,0.02687665197854514,0.03557068173988508,0.04883485666097521,0.04883485666097521,0.03557068173988508,2.657909088409864,20.7724609375
14,3e-05,True,2.036389607357314,0.10824995054548005,1.8518910254456924,39.712830549850565,2541.621157622116,0.07624863472866353,0.042649696354728296,0.06560025409922736,2.7701645683456255,0.08986630958023963,2.630152482907851,26.11759448870198,1671.5260489327568,0.0501457814679827,0.03731189080728935,0.052554418895762046,0.052554418895762046,0.03731189080728935,2.7701645683456255,21.943782806396484
15,4e-05,True,2.0170632730600526,0.11008195395508452,1.8189851448513756,34.373505768389656,2199.9043609092278,0.08799617443636913,0.042615049648510504,0.06746690419526055,2.6784217960231906,0.08521213108202913,2.538991975915301,21.178785747879154,1355.4422553974193,0.05421769021589678,0.03475119378213044,0.05046093744317909,0.05046093744317909,0.03475119378213044,2.6784217960231906,21.55001926422119
16,5e-05,True,1.9992173647342293,0.10889155980184734,1.7861814339005773,32.54511694382545,2082.8874683557437,0.1041443734177872,0.042037456352041064,0.06685410343991174,2.7601904413857303,0.08979599208540313,2.599173595944604,22.25651868359073,1424.4171679150927,0.07122085839575464,0.036428619687865066,0.053367371803947856,0.053367371803947856,0.036428619687865066,2.7601904413857303,22.706709146499634
