epoch,train_total,train_reconstruction,train_mrstft,train_detectability,train_peak_penalty,train_kl,train_nmse,train_mae,train_loudness_proxy,train_peak_violation,val_total,val_reconstruction,val_mrstft,val_detectability,val_peak_penalty,val_kl,val_nmse,val_mae,val_loudness_proxy,val_peak_violation,lr_group0,time_sec
1,2.3955033096840053,0.12819172634407977,1.8625170288491217,20.169861337465253,0.0,13.973290879096327,0.0821448397460291,0.04604688668462781,0.25686093505872676,0.0,3.003194231354893,0.1051018163561821,2.605607252527069,14.557650953334736,0.0,13.321517117730863,0.06510165358310217,0.04000016295729757,0.24474035661954147,0.0,1e-05,26.382540225982666
2,2.31528520885028,0.12160725870811606,1.8168725554211682,18.77761162150729,0.0,12.531650641366621,0.07726247408297432,0.044344784588037256,0.2534453495050648,0.0,3.0082435923972373,0.08629884083683674,2.6110821785507623,15.500516915492033,0.0,8.522348464190305,0.050800853193952486,0.03549798722327738,0.22819283227999132,0.0,1e-05,22.104207754135132
3,2.3655672073995944,0.12191342415998023,1.8690071462160087,18.6920478005698,0.0,8.0568034785044,0.07748975704459951,0.04442366710795983,0.2525613649512034,0.0,3.020662490596462,0.09597259825402564,2.647428179835225,13.832292675986782,0.0,6.158485197758937,0.05874880903738213,0.037223788776568005,0.24028177935998518,0.0,1e-05,21.956732749938965
4,2.355131642815838,0.11966962934747477,1.885360936086333,17.426941990035164,0.0,15.62241642092012,0.07613589722974842,0.04353373232303783,0.2525585682031168,0.0,2.966373428686523,0.08237206654438933,2.630283710720775,12.494649186307859,0.0,38.24667271414956,0.04918288274995655,0.03318918395050607,0.23191845466147412,0.0,1e-05,21.924110174179077
5,2.243660751963662,0.11365541895408712,1.7979906764163438,16.437986443831676,0.0,32.54924121035997,0.07176546977677074,0.04188994920328952,0.25049556597849604,0.0,3.00692413067491,0.08812267761063444,2.660499701460639,12.845799624632585,0.0,13.857649860801278,0.052920816522500996,0.03520186134910846,0.23554090353158805,0.0,1e-05,21.9394793510437
6,2.2509963159184236,0.10832218855995422,1.810889718542061,16.430812142061793,0.0,31.681659412257382,0.06764915824223404,0.040673030384508264,0.24717688643599886,0.0,2.970997515458387,0.07822458701883699,2.634473760868167,12.773816930594991,0.0,28.228227500077132,0.04529215912283449,0.03293242741498973,0.2252527675130865,0.0,1e-05,25.063249349594116
7,2.226646413958691,0.11392894529726401,1.7923181856454289,15.838863024643564,0.0,36.22025184200738,0.07216887346964829,0.04176007208982074,0.25024336871318764,0.0,2.9839692938192104,0.08643242826296406,2.6315332790324977,13.126245198524007,0.0,34.786924115904085,0.051782664704740376,0.03464976356334084,0.23071151709818577,0.0,1e-05,21.901904821395874
8,2.221367039839799,0.11186657664904082,1.7895736885894025,15.841939352735954,0.0,30.879850051950807,0.07045015759251587,0.04141641894768513,0.24886149991239367,0.0,2.9775881993007505,0.08716259511945011,2.620676800117388,13.362126012741458,0.0,25.062772525535834,0.05233637203595468,0.034826223840834676,0.23565745566572463,0.0,1e-05,22.02606201171875
9,2.1664922054612643,0.11110942026632399,1.7417463993487923,15.49126287891902,0.0,38.111294542492466,0.06991115539454686,0.04119826497814332,0.2510895968314661,0.0,2.844704215043509,0.08289674501661416,2.53161817412455,11.380961454735036,0.0,25.700772191141986,0.04963473665558702,0.03326200852477616,0.23429976403713226,0.0,1e-05,21.90435481071472
10,2.1443698979826107,0.11303231290790189,1.71868204326427,15.466290458294738,0.0,33.297343929133724,0.07152104135454294,0.041511271490281325,0.25275099647551735,0.0,2.9323400883620807,0.08106182257716472,2.5933931466642317,12.788389958800034,0.0,21.173136637761043,0.047850572606446325,0.033211250513137044,0.2311470267864374,0.0,1e-05,21.888633012771606
