epoch,train_loss,train_l1,train_nmse,train_mrstft,train_total,val_loss,val_nmse,val_mae,val_l1,val_mrstft,val_total,time
1,8.40461549594266,0.17139640924425556,1.20381204857136,7.029407054146289,8.40461549594266,7.458051343540569,0.4654733278266676,0.11861977120349695,0.11861977120349695,6.8739582509784904,7.458051343540569,20.38012433052063
2,4.8995469249735475,0.09675698712527514,0.29667218474752877,4.506117754248509,4.8995469249735475,5.20783020899846,0.1682662094769242,0.06808688794518565,0.06808688794518565,4.97147708934742,5.20783020899846,21.391392707824707
3,3.9125897675396435,0.07356051525786261,0.1744489548888656,3.6645803058923163,3.9125897675396435,4.554210631401984,0.12172860517115383,0.05964780418754934,0.05964780418754934,4.3728342069374335,4.554210631401984,18.867745399475098
4,3.2491360571913193,0.06460228090385992,0.13761780034023452,3.046915977124674,3.2491360571913193,4.046582535727993,0.10851194987912754,0.055370430288079024,0.055370430288079024,3.8827001648944814,4.046582535727993,21.797197818756104
5,2.8146142141119257,0.055440190229639114,0.10610909062434003,2.6530649359641005,2.8146142141119257,3.5655757594894575,0.08299174958041736,0.04775362570289072,0.04775362570289072,3.43483037346012,3.5655757594894575,21.48008370399475
