epoch,beta_kl,train_total,train_reconstruction,train_mrstft,train_kl,train_l1,train_nmse,val_total,val_reconstruction,val_mrstft,val_kl,val_l1,val_nmse,val_nmse_metric,val_mae_metric,val_loss,time
1,1e-06,2.992516815266603,0.167311027557014,2.8252019182461034,3.861293164144949,0.055493133164853214,0.11181789415469208,3.6442186462355184,0.1297828122809693,3.51443202318726,3.824941868310446,0.04718904086685443,0.08259377161880116,0.08259377161880116,0.04718904086685443,3.6442186462355184,22.272854328155518
2,2.0800000000000004e-05,2.6813238889256006,0.14677479930449608,2.534348774082949,9.630768667654213,0.05125993130058248,0.09551486781097028,3.504880661492819,0.10622103729254596,3.398618913613833,1.957137440587138,0.04216297803917429,0.06405805855743833,0.06405805855743833,0.04216297803917429,3.504880661492819,20.750375747680664
3,4.0600000000000004e-05,2.658483448731472,0.13852339407124842,2.5193625202533574,14.717730703898477,0.05029407783274157,0.08822931619398147,3.502777024284824,0.11531341288770948,3.3869484066963196,12.689599799913365,0.04485063191380475,0.0704627812399969,0.0704627812399969,0.04485063191380475,3.502777024284824,23.74107599258423
4,6.04e-05,2.66416831225513,0.14013307779077513,2.522480433680622,25.741836963263484,0.04970075559380599,0.09043232223407364,3.5066659990902784,0.1260377919444671,3.380004286438554,10.329977250688678,0.04678631033543702,0.07925148181371637,0.07925148181371637,0.04678631033543702,3.5066659990902784,23.743199586868286
5,8.020000000000001e-05,2.6239920716836633,0.14514157970548466,2.4768786561758236,24.586454642246444,0.05192533632119497,0.09321624350797132,3.432673751980394,0.12691129056306985,3.3046346306800842,14.062789494847204,0.0487050745677162,0.07820621517660854,0.07820621517660854,0.0487050745677162,3.432673751980394,20.742827892303467
6,0.0001,2.5355273266712506,0.13162066099811517,2.401132116596379,27.74552141876018,0.04848035486788547,0.08314030612775608,3.3917860008858063,0.11675314085332902,3.273676281446939,13.565845533714189,0.04455603120828068,0.07219710894911499,0.07219710894911499,0.04455603120828068,3.3917860008858063,20.757690906524658
7,0.0001,2.4734523996097315,0.12384305141401164,2.3476538430172136,19.555063877131044,0.046684533139940594,0.07715851845217257,3.316362650839837,0.10210513847542334,3.213265157335407,9.923645111558201,0.041179916626968224,0.06092522227829629,0.06092522227829629,0.041179916626968224,3.316362650839837,20.78188419342041
8,0.0001,2.403014361937524,0.12813511581851508,2.272180899680848,26.98347501260826,0.04766609397275277,0.08046902170476528,3.200100920030049,0.09817616324257719,3.0993378647081147,25.86877723971566,0.03888602963147255,0.059290133406418366,0.059290133406418366,0.03888602963147255,3.200100920030049,23.354368925094604
9,0.0001,2.3428369513545855,0.12111321157945264,2.219721319032697,20.02421953573645,0.045328155592835914,0.07578505576646344,3.1482921976309557,0.10131407009212526,3.0455613083891815,14.168303271571359,0.03950246110312886,0.06181160961328955,0.06181160961328955,0.03950246110312886,3.1482921976309557,20.392103910446167
10,0.0001,2.3315197897464,0.12722271611075478,2.2026945165745606,16.025595057058144,0.047062989081915314,0.0801597270238922,3.245228741850172,0.1039863275875757,3.139744834258006,14.975882818738183,0.040819113787550196,0.0631672134213559,0.0631672134213559,0.040819113787550196,3.245228741850172,20.450774431228638
