epoch,train_total,train_reconstruction,train_mrstft,train_kl,train_l1,train_nmse,val_total,val_reconstruction,val_mrstft,val_kl,val_l1,val_nmse,val_nmse_metric,val_mae_metric,val_loss,time
1,3.6486361764500024,0.20918461448880304,3.4058289396493717,336.2262536646677,0.06771960351888244,0.14146501097981515,3.929845068480942,0.14624643063807224,3.783541822171473,0.5682490194564337,0.05334986197751957,0.09289656833305464,0.09289656833305464,0.05334986197751957,3.929845068480942,23.26221513748169
2,2.9556604417988344,0.15672708762831897,2.7974151095862725,15.182427130530714,0.05598780131375647,0.10073928624530079,3.5620302908368164,0.11514203143971306,3.4464104018368564,4.778763753044736,0.04372947638506418,0.07141255505464889,0.07141255505464889,0.04372947638506418,3.5620302908368164,24.484169721603394
3,2.854055386457152,0.15372808956371678,2.575003530083108,1253.2376597575142,0.0544882657558003,0.09923982399591254,4.009844597551849,0.12612056339180078,3.4310616860677907,4526.623628170935,0.04482743440830445,0.08129312896302768,0.08129312896302768,0.04482743440830445,4.009844597551849,20.69334387779236
4,2.7146711605953504,0.1593021502196393,2.5149016511709408,404.67359971636006,0.056559412177419596,0.10274273820053217,3.6500214754225135,0.1451326173904178,3.5047148505409997,1.7399993221183399,0.053629669023084116,0.09150294834686505,0.09150294834686505,0.053629669023084116,3.6500214754225135,20.928595304489136
5,2.471729245477147,0.13011976091035335,2.3361961596198926,54.13321625806421,0.04807079185151642,0.0820489690192588,3.1497976815962527,0.10872835964783208,3.015378694612901,256.90613120728796,0.04442332764821393,0.06430503212242991,0.06430503212242991,0.04442332764821393,3.1497976815962527,21.65291404724121
6,2.364336450261424,0.1250854371434664,2.1699296275616327,693.2138274295396,0.04745134843852257,0.077634088764311,3.109170213505462,0.0905903824451533,3.015944329100651,26.35483018382565,0.037065850386580265,0.05352453207904166,0.05352453207904166,0.037065850386580265,3.109170213505462,24.395094633102417
7,2.362259933039803,0.1312897945760414,2.1665704456141905,643.9968826324341,0.0487251073953165,0.08256468702735971,3.017863323072811,0.11162082040375405,2.893503813789441,127.38680956324379,0.044687510887672616,0.06693330970029909,0.06693330970029909,0.044687510887672616,3.017863323072811,24.484033823013306
8,2.262571350986739,0.12692032504089643,2.0482711885396543,873.7984358175185,0.04766041465390568,0.07925991057746043,2.7993906977084966,0.09045915833705075,2.7085356212906784,3.9593009306834293,0.0357888457723535,0.05467031213485605,0.05467031213485605,0.0357888457723535,2.7993906977084966,21.48635244369507
9,2.193800622090242,0.13089933167712622,1.9875733996450822,753.278979193167,0.04846625821108362,0.0824330736194078,2.922976329431429,0.09828570538333484,2.7289573618998895,957.3325781245808,0.0398787129261009,0.058406992692623165,0.058406992692623165,0.0398787129261009,2.922976329431429,21.273993492126465
10,2.304921481713831,0.12470025359436494,2.1183579541139235,618.6327428466295,0.04768948078867924,0.07701077267953045,2.903830282308243,0.11944393220019865,2.7677957867528056,165.9056588948428,0.04745518688399058,0.07198874494777276,0.07198874494777276,0.04745518688399058,2.903830282308243,21.50514030456543
