epoch,beta_kl,train_total,train_reconstruction,train_mrstft,train_kl,train_l1,train_nmse,val_total,val_reconstruction,val_mrstft,val_kl,val_l1,val_nmse,val_nmse_metric,val_mae_metric,val_loss,time
1,1e-06,3.743269898818625,0.20390469007006046,3.3181792446974896,221185.962602737,0.06558652674831242,0.13831816353448043,4.2069312530559495,0.2827219321177556,3.9242072780053694,2.024705471737044,0.08071271579835441,0.20200921636033844,0.20200921636033844,0.08071271579835441,4.2069312530559495,22.28594970703125
2,2.0800000000000004e-05,3.1558225791292838,0.17676500376477183,2.947061769199245,1538.2597513958751,0.06018314403722961,0.11658185951975712,3.6879573271169765,0.12379253385486183,3.563049684841554,53.61077129447853,0.04589898622297978,0.07789354797984872,0.07789354797984872,0.04589898622297978,3.6879573271169765,23.406954288482666
3,4.0600000000000004e-05,3.0901010262855335,0.15312803359541444,2.790489692453686,3607.9631201983448,0.05477814397132729,0.0983498894064075,3.5733195949386762,0.12596175574011856,3.3390429877972867,2667.854086405956,0.04998848042809046,0.0759732760488987,0.0759732760488987,0.04998848042809046,3.5733195949386762,20.988527059555054
4,6.04e-05,2.9725885161682273,0.13793721522982536,2.8156311244445336,314.9035604080831,0.05074973221853435,0.08718748313991989,3.8343584527681163,0.1327124131167983,3.7014151271227953,3.8234007882547902,0.04821175985693277,0.08450065276861846,0.08450065276861846,0.04821175985693277,3.8343584527681163,20.749698877334595
5,8.020000000000001e-05,2.969349786104909,0.13765628295511523,2.7930476011666325,481.86917106658814,0.05018887179068835,0.08746741119411046,4.0064154247661214,0.12403783595168984,3.881315380007356,13.244471836876084,0.04429660778451752,0.07974122806482918,0.07974122806482918,0.04429660778451752,4.0064154247661214,20.802659511566162
6,0.0001,2.911755447368698,0.1303272092761905,2.708489462198964,729.3877691507023,0.04792681062819157,0.08240039880136411,3.3871143630572726,0.09374448169882481,3.254875973358259,384.9389157347627,0.038481195365170855,0.05526328630295101,0.05526328630295101,0.038481195365170855,3.3871143630572726,23.559719562530518
7,0.0001,2.524890307886192,0.12565497627573344,2.316558419470768,826.7691614067412,0.04709675981308201,0.07855821660612208,3.1737857650924517,0.10875893269593899,3.033983819104813,310.4301294887459,0.04272804415406107,0.06603088831672302,0.06603088831672302,0.04272804415406107,3.1737857650924517,23.63816785812378
8,0.0001,2.483398017338706,0.1241970109650655,2.330606529437213,285.94476166363575,0.04660114143810583,0.07759586968527214,3.3738672117610555,0.09678676818589588,3.276226106253299,8.54327152980553,0.038525023886545016,0.05826174525114206,0.05826174525114206,0.038525023886545016,3.3738672117610555,20.47933793067932
9,0.0001,2.4113638418445866,0.12176120481088976,2.2140059722847196,755.966704775771,0.04593813623911435,0.07582306861630078,2.897509910411887,0.08503883501903696,2.811526669578238,9.444000236280672,0.03531168336765124,0.049727151569511206,0.049727151569511206,0.03531168336765124,2.897509910411887,20.510076999664307
10,0.0001,2.2729461318151567,0.11521024965887684,1.9913713787973006,1663.6450687474305,0.04423375445780447,0.07097649522828232,2.790943683339999,0.08293358471940507,2.7075981324190623,4.119837451767135,0.0347111841950279,0.04822240053461148,0.04822240053461148,0.0347111841950279,2.790943683339999,20.49917697906494
