epoch,train_total,train_reconstruction,train_mrstft,train_detectability,train_peak_penalty,train_nmse,train_mae,train_loudness_proxy,train_peak_violation,val_total,val_reconstruction,val_mrstft,val_detectability,val_peak_penalty,val_nmse,val_mae,val_loudness_proxy,val_peak_violation,lr_group0,time_sec
1,2.926673756873133,0.14881548801978745,2.309905251183833,23.397650957684622,0.0,0.09694667308928957,0.051868814727660036,0.2618215841205313,0.0,3.5290081060567213,0.10212014257334746,3.060829241524686,18.30293612352015,0.0,0.06235287347706137,0.03976726953636159,0.23796671170454758,0.0,1e-05,35.73218131065369
2,2.6824017332550207,0.12444775157260546,2.141436684495741,20.825864990188794,0.0,0.07855318981416988,0.04589456153580867,0.24722365941976013,0.0,3.2747887358807133,0.08411509371720828,2.883229972241999,15.372182914766306,0.0,0.04973362687115486,0.03438146687675636,0.22565254962051307,0.0,1e-05,34.38908338546753
3,2.6143583227826572,0.13247982603046365,2.079331723500691,20.127338617802383,0.0,0.08394941766987521,0.048530408429850146,0.2494683583894099,0.0,3.3581371335067987,0.11828653895101704,2.931383417202876,15.42335841119486,0.0,0.0721724363719369,0.046114103438762516,0.23973997805144762,0.0,1e-05,31.43639612197876
4,2.617878959251635,0.13726822599511382,2.09742926553901,19.159073307214037,0.0,0.08745350995426317,0.049814715815750095,0.2530985603413259,0.0,3.3576735782985048,0.09381945779199129,2.947766866002764,15.804362481610744,0.0,0.05634810205467127,0.03747135614669257,0.23216085545309298,0.0,1e-05,34.39454126358032
5,2.556981168908392,0.12089373967344384,2.0667623776996913,18.466252659134806,0.0,0.07605952425930367,0.044834215367141154,0.25037322065744744,0.0,3.269596200904767,0.086302598713191,2.8812428149548204,15.102539048667747,0.0,0.05099881083735234,0.03530378784001856,0.2326603836410648,0.0,1e-05,34.39474606513977
6,2.6218880491290357,0.1323482222498888,2.1018698563772054,19.383498509513224,0.0,0.08470082855665906,0.04764739353244365,0.2581753493701003,0.0,3.292418200524671,0.11418347736145114,2.853291649412323,16.247153509467857,0.0,0.06964300838964325,0.044540469094619645,0.23195486458448264,0.0,1e-05,34.393229961395264
7,2.4519123494826527,0.13685657576735752,1.9592827618676194,17.788650618109628,0.0,0.08714496647347887,0.04971160928151047,0.25309874335054067,0.0,3.162144940066462,0.11052174039266921,2.7774847683670756,13.70692176592843,0.0,0.06857310909941629,0.041948631774265686,0.2428230343611686,0.0,1e-05,34.41987752914429
8,2.3739043227497425,0.1377955040737373,1.8812578212059192,17.74255001029602,0.0,0.08882594058861533,0.04896956350491104,0.25552876752765374,0.0,3.088953893459678,0.11589556396171287,2.678398914717056,14.732970929403693,0.0,0.07374964140683085,0.0421459227595683,0.25011085759807417,0.0,1e-05,31.87023401260376
9,2.2570622094801993,0.13179055224871572,1.7863716013719677,16.945002820927986,0.0,0.08377036664036323,0.04802018574934953,0.24744486013256697,0.0,2.9404410287233755,0.08441433607303835,2.6061981605304467,12.491426705267383,0.0,0.0498245112945909,0.034589825402740595,0.23037649478231156,0.0,1e-05,34.420469522476196
10,2.1968865064958916,0.13177108019590378,1.739621495978924,16.27469653138976,0.0,0.08369276734195145,0.04807831262143089,0.24869854754185772,0.0,2.962347359165272,0.0984465472482063,2.6033681506638997,13.026632550942566,0.0,0.05920087224752693,0.03924567483693034,0.22991956475671832,0.0,1e-05,34.435057401657104
