step,lr,loss_total,loss_l1,loss_nmse,loss_mrstft,loss_objective,min_loss_so_far
1.0,0.001,0.902816891670227,0.902816891670227,0.0,0.0,0.902816891670227,0.902816891670227
2.0,0.001,1.470261573791504,1.470261573791504,0.0,0.0,1.470261573791504,0.902816891670227
3.0,0.001,0.7607439756393433,0.7607439756393433,0.0,0.0,0.7607439756393433,0.7607439756393433
4.0,0.001,0.42396849393844604,0.42396849393844604,0.0,0.0,0.42396849393844604,0.42396849393844604
5.0,0.001,0.4133610725402832,0.4133610725402832,0.0,0.0,0.4133610725402832,0.4133610725402832
6.0,0.001,0.303000807762146,0.303000807762146,0.0,0.0,0.303000807762146,0.303000807762146
7.0,0.001,0.2755776345729828,0.2755776345729828,0.0,0.0,0.2755776345729828,0.2755776345729828
8.0,0.001,0.20246383547782898,0.20246383547782898,0.0,0.0,0.20246383547782898,0.20246383547782898
9.0,0.001,0.1819801777601242,0.1819801777601242,0.0,0.0,0.1819801777601242,0.1819801777601242
10.0,0.001,0.1517181396484375,0.1517181396484375,0.0,0.0,0.1517181396484375,0.1517181396484375
11.0,0.001,0.11897114664316177,0.11897114664316177,0.0,0.0,0.11897114664316177,0.11897114664316177
12.0,0.001,0.11795017123222351,0.11795017123222351,0.0,0.0,0.11795017123222351,0.11795017123222351
13.0,0.001,0.10281738638877869,0.10281738638877869,0.0,0.0,0.10281738638877869,0.10281738638877869
14.0,0.001,0.10252062976360321,0.10252062976360321,0.0,0.0,0.10252062976360321,0.10252062976360321
15.0,0.001,0.09344139695167542,0.09344139695167542,0.0,0.0,0.09344139695167542,0.09344139695167542
16.0,0.001,0.08837178349494934,0.08837178349494934,0.0,0.0,0.08837178349494934,0.08837178349494934
17.0,0.001,0.0838337242603302,0.0838337242603302,0.0,0.0,0.0838337242603302,0.0838337242603302
18.0,0.001,0.08019876480102539,0.08019876480102539,0.0,0.0,0.08019876480102539,0.08019876480102539
19.0,0.001,0.07299976050853729,0.07299976050853729,0.0,0.0,0.07299976050853729,0.07299976050853729
20.0,0.001,0.06990227103233337,0.06990227103233337,0.0,0.0,0.06990227103233337,0.06990227103233337
21.0,0.001,0.0632832869887352,0.0632832869887352,0.0,0.0,0.0632832869887352,0.0632832869887352
22.0,0.001,0.060000523924827576,0.060000523924827576,0.0,0.0,0.060000523924827576,0.060000523924827576
23.0,0.001,0.05255647003650665,0.05255647003650665,0.0,0.0,0.05255647003650665,0.05255647003650665
24.0,0.001,0.05567704513669014,0.05567704513669014,0.0,0.0,0.05567704513669014,0.05255647003650665
25.0,0.001,0.05269692838191986,0.05269692838191986,0.0,0.0,0.05269692838191986,0.05255647003650665
26.0,0.001,0.047663092613220215,0.047663092613220215,0.0,0.0,0.047663092613220215,0.047663092613220215
27.0,0.001,0.04922468587756157,0.04922468587756157,0.0,0.0,0.04922468587756157,0.047663092613220215
28.0,0.001,0.045823801308870316,0.045823801308870316,0.0,0.0,0.045823801308870316,0.045823801308870316
29.0,0.001,0.04312027245759964,0.04312027245759964,0.0,0.0,0.04312027245759964,0.04312027245759964
30.0,0.001,0.04318094253540039,0.04318094253540039,0.0,0.0,0.04318094253540039,0.04312027245759964
31.0,0.001,0.04149484634399414,0.04149484634399414,0.0,0.0,0.04149484634399414,0.04149484634399414
32.0,0.001,0.03660139814019203,0.03660139814019203,0.0,0.0,0.03660139814019203,0.03660139814019203
33.0,0.001,0.03857726231217384,0.03857726231217384,0.0,0.0,0.03857726231217384,0.03660139814019203
34.0,0.001,0.036307841539382935,0.036307841539382935,0.0,0.0,0.036307841539382935,0.036307841539382935
35.0,0.001,0.03454897925257683,0.03454897925257683,0.0,0.0,0.03454897925257683,0.03454897925257683
36.0,0.001,0.03498125076293945,0.03498125076293945,0.0,0.0,0.03498125076293945,0.03454897925257683
37.0,0.001,0.03517089784145355,0.03517089784145355,0.0,0.0,0.03517089784145355,0.03454897925257683
38.0,0.001,0.031179441139101982,0.031179441139101982,0.0,0.0,0.031179441139101982,0.031179441139101982
39.0,0.001,0.031332798302173615,0.031332798302173615,0.0,0.0,0.031332798302173615,0.031179441139101982
40.0,0.001,0.029023408889770508,0.029023408889770508,0.0,0.0,0.029023408889770508,0.029023408889770508
41.0,0.001,0.02985924668610096,0.02985924668610096,0.0,0.0,0.02985924668610096,0.029023408889770508
42.0,0.001,0.032287903130054474,0.032287903130054474,0.0,0.0,0.032287903130054474,0.029023408889770508
