track_id,method,nmse_vs_admm,mae_vs_admm,output_peak,output_rms_db
018031,input_reference,0.028500841930508614,0.01736900582909584,0.5,-14.196953773498535
018031,admm,0.0,0.0,0.5,-14.47258472442627
018031,dsp_fast,0.031217649579048157,0.019384315237402916,0.5114670395851135,-14.0
018031,waveunet_stage1,0.08946504443883896,0.046224839985370636,0.7281988859176636,-14.103363990783691
018031,vae_plain_cyclical,0.031935494393110275,0.024105511605739594,0.4927293360233307,-15.25205135345459
018032,input_reference,0.018583394587039948,0.008044825866818428,0.5,-15.546062469482422
018032,admm,0.0,0.0,0.5,-15.868063926696777
018032,dsp_fast,0.024150677025318146,0.012151626870036125,0.5200614333152771,-15.204368591308594
018032,waveunet_stage1,0.10922853648662567,0.04569894075393677,0.6945044994354248,-15.195411682128906
018032,vae_plain_cyclical,0.021761270239949226,0.01608067750930786,0.5047739744186401,-16.587173461914062
