track_id,variant,detectability_vs_reference_clipped
018031,admm_processed,3.6102761849972893
018031,admm_rescaled,4542.869219250832
018032,admm_processed,2.9195662935952087
018032,admm_rescaled,12204.454314059816
018033,admm_processed,0.7726285854451249
018033,admm_rescaled,9906.386172427829
018034,admm_processed,0.6387650321330021
018034,admm_rescaled,9451.19997337891
018037,admm_processed,0.9886527978689567
018037,admm_rescaled,21628.870446970766
018038,admm_processed,0.21641692412473026
018038,admm_rescaled,49792.03476168849
018039,admm_processed,0.7696150733174782
018039,admm_rescaled,8677.069861194415
018043,admm_processed,2.006827173470017
018043,admm_rescaled,3121.5870331866113
018044,admm_processed,2.829401620924089
018044,admm_rescaled,9540.42595297451
018112,admm_processed,7.259702664632925
018112,admm_rescaled,3422.344284641349
