epoch,train_loss,train_nmse,train_mae,val_loss,val_nmse,val_mae,time_sec
1,0.1224787522947983,0.07608208162726764,0.04639667063340132,0.13620251825988572,0.08321782314326905,0.05298469507604173,182.920565366745
2,0.1164475284855137,0.07178808848327776,0.04465943998925193,0.1353704713329857,0.082439268416499,0.05293120288532513,356.118008852005
3,0.11508180279810752,0.07083516353561367,0.04424663928957473,0.13516155043474068,0.08228584683084372,0.052875703568330115,520.1093485355377
4,0.11453623970715654,0.07041640432499197,0.0441198353665838,0.13560421109493334,0.08272403635839926,0.05288017468942076,685.6149566173553
5,0.11408412720346991,0.0700803510965273,0.04400377609414412,0.13508947812402136,0.08233230190482929,0.0527571763663748,848.0221657752991
6,0.11386831095926293,0.06992836843295369,0.04393994259308401,0.13527949721406082,0.08260926440714479,0.05267023285444669,1012.5299868583679
7,0.11350295354653535,0.06965318276107109,0.043849770706447445,0.1344363345495438,0.08172322673378284,0.052713107824246916,1177.2165830135345
8,0.11324176526602653,0.06948564393199895,0.043756121298785325,0.13454475457594764,0.082043858409819,0.05250089607125282,1340.7319042682648
9,0.11318058253753188,0.06943784194526012,0.04374274063326405,0.13379288301909825,0.08131329370290671,0.05247958932310087,1505.6452405452728
10,0.11292456502599015,0.06922446191496368,0.0437001031195588,0.13404692554751066,0.08163627787467943,0.052410647799285955,1668.50834608078
11,0.11271300059931494,0.06907430940449202,0.04363869127717846,0.1336665527883593,0.08134106889116141,0.052325483873780325,1833.2549607753754
12,0.11270647472984832,0.0690984108919874,0.043608063851215885,0.13416394045874344,0.08177405773585796,0.052389882690981965,1997.8740758895874
13,0.1125542489914537,0.06896942335069091,0.04358482565652906,0.13373405637868377,0.08139367607340374,0.05234038037390965,2160.4756984710693
14,0.11233930364310492,0.06881531049716114,0.0435239932173557,0.13329573985882173,0.08109553789620148,0.0522002019505637,2406.550709962845
15,0.11231476605143283,0.06880906373139985,0.04350570238921906,0.13346465479814776,0.08091500091137951,0.052549653963698345,2607.5648658275604
16,0.1120600233615347,0.06863491421424815,0.04342510915878664,0.13425171306422448,0.08164763865790062,0.05260407447305227,2808.6429567337036
17,0.11188909823208115,0.06849013173144353,0.043398966482274565,0.1337479602825954,0.08129953076053738,0.05244842947109587,3010.42728471756
18,0.1118822901212369,0.06848839693976348,0.04339389317034428,0.13429933512689843,0.08191666946479495,0.052382665704486915,3211.230613231659
19,0.11174051215795378,0.06838055078909944,0.04335996137219308,0.13196849133919503,0.08010993124811423,0.0518585602125738,3412.435920238495
20,0.1116191236232885,0.06829141165739902,0.04332771192656656,0.13210627199290664,0.08026254814296399,0.051843723932715545,3613.543493747711
21,0.11153232967905778,0.0682100967397059,0.043322232921916254,0.13313395687258564,0.08099536058782131,0.052138596333547005,3814.914116382599
22,0.11138875067035199,0.06811753165268418,0.04327121902063557,0.1331683418770454,0.08106112210166279,0.05210721971023085,4016.105330467224
23,0.11147743885310207,0.06821454010660478,0.043262898808820414,0.13173915875055084,0.07995970112277542,0.051779457686620685,4276.528281211853
24,0.11137103186977786,0.06811665677296892,0.04325437504450203,0.13369729733782723,0.08144591359839509,0.05225138375886175,4517.13148522377
25,0.1111935027666335,0.06797915097423235,0.04321435177719135,0.13328377990464996,0.08108909637152517,0.052194683451232946,4756.206168889999
26,0.11098501382566643,0.06781165616939598,0.04317335755573732,0.1321694562769944,0.08014795011327894,0.05202150620238919,5009.522565841675
27,0.11105440552180398,0.06788273637691797,0.04317166913561174,0.13319365792714685,0.08091586266618887,0.052277795146327945,5251.762901544571
28,0.11097675769500252,0.06781774385112752,0.04315901383218942,0.13161806893505096,0.07991603653388478,0.05170203237450264,5490.96923160553
29,0.11084803530129866,0.06775026581254026,0.0430977695143554,0.1317473242569064,0.07981344807870408,0.051933876103729903,5730.067588806152
30,0.11082469048659252,0.06769109037336578,0.043133600083178104,0.13153436470641763,0.07985625311361692,0.051678111695095945,5970.513274908066
