epoch,beta_kl,free_bits_enabled,train_total,train_reconstruction,train_mrstft,train_kl,train_l1,train_nmse,val_total,val_reconstruction,val_mrstft,val_kl,val_l1,val_nmse,val_nmse_metric,val_mae_metric,val_loss,time
1,0.0,False,2.3153139772326505,0.12071272162881347,2.1946012557423606,6178.414146149776,0.04667015193131657,0.07404256976181134,2.957570101533617,0.10187555468835674,2.8556945428743465,5845.603553185096,0.04182961525825354,0.06004593873416984,0.06004593873416984,0.04182961525825354,2.957570101533617,40.6287260055542
2,1.3333333333333333e-05,False,2.3662783442582107,0.13859710319939839,2.143200714749644,6336.039453514069,0.05178433134261355,0.08681277224267146,3.188444644540221,0.12767801785862054,2.980507100348944,6019.464130108173,0.04782286116464452,0.07985515616179167,0.07985515616179167,0.04782286116464452,3.188444644540221,37.14274454116821
3,2.6666666666666667e-05,False,2.4314653398506194,0.13725401802485682,2.1270137344540196,6269.909800252117,0.050678616124953564,0.08657540167232909,3.2157278591459924,0.12453499018818467,2.917479327091804,6514.257909083104,0.04740275716879866,0.07713223338782133,0.07713223338782133,0.04740275716879866,3.2157278591459924,36.196205854415894
4,4e-05,False,2.4579099049447857,0.12688668915237564,2.078917184990557,6302.6510572294155,0.04922010073287395,0.07766658818698025,3.222213633767851,0.10742897429800295,2.8686114919709635,6154.329520089285,0.04332843218203429,0.06410054273002751,0.06410054273002751,0.04332843218203429,3.222213633767851,37.16378426551819
5,5e-05,False,2.500723735903047,0.11639959845014144,2.064459447050158,6397.29386620186,0.045338316339440396,0.07106128201422938,3.3301061319780874,0.10466137544794397,2.890763759285539,6693.6199132898355,0.04224915202747989,0.06241222323624642,0.06241222323624642,0.04224915202747989,3.3301061319780874,36.4560022354126
6,5e-05,False,2.4427402931380557,0.11415092136023212,1.9843566044076664,6884.655603497468,0.045113412566868905,0.06903750872162788,3.14940482378006,0.09753283624956896,2.7063307349498453,6910.825120192308,0.04015064266111169,0.05738219307674156,0.05738219307674156,0.04015064266111169,3.14940482378006,36.605815172195435
7,5e-05,False,2.389823353939639,0.11356405480944144,1.9284214503261672,6956.757072620974,0.04429104653833951,0.06927300836509996,3.0766728009496416,0.08528374321758747,2.6474368336436513,6879.045120406937,0.03537881903473165,0.04990492450011955,0.04990492450011955,0.03537881903473165,3.0766728009496416,36.98049855232239
8,5e-05,False,2.522826208694681,0.1324768833133329,2.0300236957798283,7206.512662890106,0.04912815421354644,0.08334872925315166,3.259243390062353,0.11326144758489105,2.7935049340620144,7049.540108816965,0.04502906717851267,0.06823238057012741,0.06823238057012741,0.04502906717851267,3.259243390062353,37.53034281730652
9,6.666666666666667e-06,False,2.223222234809541,0.1317872267815063,2.0405557272760357,7631.892078171688,0.04873893116841991,0.08304829549187841,2.893108579156163,0.09398859733163001,2.746405439062433,7907.1833898523355,0.038053725385567644,0.05593487235543492,0.05593487235543492,0.038053725385567644,2.893108579156163,32.5474419593811
10,2e-05,False,2.272365796455191,0.1199545661064179,1.9925769230284065,7991.715227631142,0.04497488507454297,0.07497968099477044,2.9578346393920563,0.08787390184435216,2.7101636201470765,7989.855865813874,0.03613771783740639,0.051736184109288916,0.051736184109288916,0.03613771783740639,2.9578346393920563,32.59801268577576
11,3.3333333333333335e-05,False,2.4113258248464677,0.12774252328541807,2.0034797383177962,8403.106807146414,0.04866193585681567,0.07908058727028994,3.17058449787098,0.12211440192474114,2.7664369230086985,8460.994924021292,0.04748239171701473,0.07463200967554208,0.07463200967554208,0.04748239171701473,3.17058449787098,32.51592516899109
12,4.666666666666667e-05,False,2.4430368469055903,0.12794808533839178,1.9509601515444468,7802.755766646954,0.049228127585701734,0.07871995774774279,3.1590888650862725,0.10824617076214853,2.727594004555063,6926.757538847871,0.04362494664287174,0.06462122450818072,0.06462122450818072,0.04362494664287174,3.1590888650862725,32.57318735122681
