epoch,train_loss,train_nmse,train_total,val_loss,val_nmse,val_mae,val_total,time
1,1.6080122590262107,1.6080122590262107,1.6080122590262107,0.047606870855974114,0.047606870855974114,0.04880914070468018,0.047606870855974114,14.953507423400879
2,0.06019587858171059,0.06019587858171059,0.06019587858171059,0.07632357768876397,0.07632357768876397,0.04980659625236539,0.07632357768876397,12.521830320358276
3,0.049833986494276256,0.049833986494276256,0.049833986494276256,0.03612953416355278,0.03612953416355278,0.03886322596150896,0.03612953416355278,13.10791301727295
4,0.04626898589746031,0.04626898589746031,0.04626898589746031,0.04263894551474115,0.04263894551474115,0.042914706781722496,0.04263894551474115,13.579269409179688
5,0.045456405561515895,0.045456405561515895,0.045456405561515895,0.033541846655957074,0.033541846655957074,0.03749693951744964,0.033541846655957074,12.772902250289917
6,0.04329948044485516,0.04329948044485516,0.04329948044485516,0.03379844197922427,0.03379844197922427,0.03872288029262985,0.03379844197922427,12.34920072555542
7,0.04242620079053773,0.04242620079053773,0.04242620079053773,0.0348790238165985,0.0348790238165985,0.03876552320476891,0.0348790238165985,13.313583850860596
8,0.04093060481840025,0.04093060481840025,0.04093060481840025,0.03763900928037322,0.03763900928037322,0.04185403257176496,0.03763900928037322,12.508946657180786
9,0.039560362943029274,0.039560362943029274,0.039560362943029274,0.032657336929570076,0.032657336929570076,0.036755777463532875,0.032657336929570076,12.889482259750366
10,0.03910749378027739,0.03910749378027739,0.03910749378027739,0.0372562561913029,0.0372562561913029,0.038665728832500565,0.0372562561913029,12.708622694015503
11,0.038648005407402125,0.038648005407402125,0.038648005407402125,0.03340839307107355,0.03340839307107355,0.03678852082162663,0.03340839307107355,12.69898247718811
12,0.037536472180690714,0.037536472180690714,0.037536472180690714,0.033619619723733354,0.033619619723733354,0.037156766361516456,0.033619619723733354,12.581428289413452
13,0.036439010410239454,0.036439010410239454,0.036439010410239454,0.03088559594977161,0.03088559594977161,0.03615199547746907,0.03088559594977161,13.291429996490479
14,0.035917998059953334,0.035917998059953334,0.035917998059953334,0.031407343993044415,0.031407343993044415,0.03628762271525203,0.031407343993044415,12.910109758377075
15,0.035079564633114,0.035079564633114,0.035079564633114,0.03175927115523297,0.03175927115523297,0.035400742367989776,0.03175927115523297,13.506306648254395
16,0.03445641776280744,0.03445641776280744,0.03445641776280744,0.0342355612260492,0.0342355612260492,0.03804557219795559,0.0342355612260492,12.400437116622925
17,0.033519248867397586,0.033519248867397586,0.033519248867397586,0.03286685735878089,0.03286685735878089,0.03674047505078108,0.03286685735878089,12.505505323410034
18,0.034260480196545366,0.034260480196545366,0.034260480196545366,0.03442962346193583,0.03442962346193583,0.03799327219957891,0.03442962346193583,12.664497137069702
19,0.03279368979511438,0.03279368979511438,0.03279368979511438,0.03210232384583872,0.03210232384583872,0.03622940344654996,0.03210232384583872,12.486534833908081
20,0.032047293902862636,0.032047293902862636,0.032047293902862636,0.03622105956563483,0.03622105956563483,0.03856812714450601,0.03622105956563483,13.033998489379883
21,0.0305763475754589,0.0305763475754589,0.0305763475754589,0.03248961261757042,0.03248961261757042,0.03548086423804794,0.03248961261757042,12.379579067230225
22,0.030277107797917865,0.030277107797917865,0.030277107797917865,0.03411411676231934,0.03411411676231934,0.03609290314109429,0.03411411676231934,13.092890977859497
23,0.029498332677773697,0.029498332677773697,0.029498332677773697,0.033792956691721214,0.033792956691721214,0.03682281994733257,0.033792956691721214,12.378260612487793
24,0.028906015028792715,0.028906015028792715,0.028906015028792715,0.033017177782628845,0.033017177782628845,0.036318875363339546,0.033017177782628845,12.491823434829712
