epoch,train_total,train_reconstruction,train_mrstft,train_detectability,train_peak_penalty,train_nmse,train_mae,train_loudness_proxy,train_peak_violation,val_total,val_reconstruction,val_mrstft,val_detectability,val_peak_penalty,val_nmse,val_mae,val_loudness_proxy,val_peak_violation,lr_group0,time_sec
1,3.0084316463725123,0.1485785359286692,2.3864336067620187,23.670975165291697,0.0,0.09700684018363832,0.05157169574997814,0.25804478090360344,0.0,3.724883226539422,0.11096527095843148,3.2542018042160916,17.985807308293403,0.0,0.06826240264370546,0.0427028686012868,0.24254462532289736,0.0,1e-05,25.838773727416992
2,2.9574047978201308,0.137673983169821,2.3870811321504246,21.632484304580085,0.0,0.08833391465256572,0.04934006865577869,0.2566917144444834,0.0,3.717618110051158,0.1128441530924577,3.237945551400656,18.34142022877759,0.0,0.0696086524832216,0.04323550063993905,0.2441606207208319,0.0,1e-05,23.55328631401062
3,2.8949740564786004,0.13585178099899178,2.3401598808458286,20.948119626312216,0.0,0.08739205461198274,0.04845972616685577,0.258717629143283,0.0,3.6058557295790252,0.09425657827939306,3.1604936581391554,17.55527385770052,0.0,0.05624304517366729,0.038013532860102235,0.23105399949210031,0.0,1e-05,23.65312433242798
4,2.8228672966943176,0.1186808558950228,2.291321745115131,20.64323471643064,0.0,0.07488293070618217,0.043797925339732195,0.24857251375794887,0.0,3.4942810354199803,0.10599747660395863,3.083789504818864,15.22470291273171,0.0,0.0664075836129896,0.03958989289886022,0.24321747923290338,0.0,1e-05,23.687514305114746
5,2.799128388490899,0.12305845634376068,2.301056728578342,18.750660265264266,0.0,0.07882094136865965,0.044237515138360765,0.2539628939245485,0.0,3.5449097177469047,0.09437556341699846,3.1496953597435584,15.041939691450525,0.0,0.057358627703941456,0.03701693574887711,0.23868767065661295,0.0,1e-05,26.48845911026001
6,2.6714439574787914,0.11704275685833745,2.1936728917903316,18.036415531051706,0.0,0.07375174663852094,0.04329101001945229,0.24858091429251916,0.0,3.467751853160133,0.09045282876180423,3.082353344657919,14.747284323729414,0.0,0.054503023624420166,0.03594980486105759,0.2348147498054819,0.0,1e-05,23.66411566734314
7,2.739437586020771,0.1155290435777005,2.2466970240452375,18.860576038378717,0.0,0.07217192015107252,0.0433571234884688,0.24699172668485528,0.0,3.441316242758892,0.09348287480463693,3.0632125859732158,14.231039372308093,0.0,0.05608754526250637,0.03739532959330213,0.23548781003925826,0.0,1e-05,23.55915665626526
8,2.608621155632687,0.11507229128008978,2.1376715436241382,17.793866047801743,0.0,0.07205170487977594,0.04302058637557751,0.24914892839087274,0.0,3.3571434311180597,0.0951655805520304,2.9724746768946178,14.475158849366471,0.0,0.057838189748248885,0.03732739122850554,0.24088100843377167,0.0,1e-05,23.679306983947754
9,2.5322755980773355,0.12086875657557175,2.0731586583582056,16.912409296690768,0.0,0.07674693166319117,0.0441218249222751,0.2535331256756903,0.0,3.4012300378197526,0.10120062607821527,2.9346448281309105,18.26922896561069,0.0,0.05950233492754645,0.041698291119965876,0.22324754838105088,0.0,1e-05,23.59960913658142
10,2.5078714853998156,0.11496173416772687,2.0382740016319203,17.731787226461133,0.0,0.07163397887174985,0.04332775525145163,0.24766181963452621,0.0,3.231421053273585,0.09533761552238203,2.8553834004061565,14.035002176328643,0.0,0.0567992351754763,0.038538380372491514,0.23870240086382563,0.0,1e-05,23.642136096954346
