epoch,train_loss,train_l1,train_nmse,train_mrstft,train_total,val_loss,val_nmse,val_mae,val_l1,val_mrstft,val_total,time
1,7.1607499274599595,0.14862810131681867,0.8138943658684038,6.19822746222396,7.1607499274599595,6.889907695434906,0.3766729222549187,0.10300691728736018,0.10300691728736018,6.41022787120316,6.889907695434906,22.207219123840332
2,4.8599664566526375,0.09605103258196893,0.2940868030427145,4.469828623699477,4.8599664566526375,6.084513108808916,0.5144929399529656,0.11945398651309065,0.11945398651309065,5.450566181769738,6.084513108808916,20.32547163963318
3,4.258919450549649,0.09097224264683951,0.2641823746135352,3.9037648342836744,4.258919450549649,4.911106179048727,0.12841976479023368,0.05980312107847287,0.05980312107847287,4.722883307671809,4.911106179048727,20.403379440307617
4,3.802139487082898,0.08404059342020853,0.21590848019715167,3.502190409745195,3.802139487082898,4.72181207203603,0.24619055662181352,0.08654489294513242,0.08654489294513242,4.3890766226328335,4.72181207203603,23.090593576431274
5,3.2945225982868656,0.06595992247956207,0.14924222602945558,3.079320450228049,3.2945225982868656,4.262851465534378,0.11152198153373959,0.057354060871588,0.057354060871588,4.093975390051748,4.262851465534378,23.18779468536377
6,3.2407799792954646,0.06857079763217751,0.15075115954495996,3.021458017556949,3.2407799792954646,3.950491650418921,0.10313227985586439,0.055426545441150665,0.055426545441150665,3.7919328147238427,3.950491650418921,23.14058804512024
7,2.9802971528979096,0.0660105377168532,0.14296817769646486,2.7713184374103825,2.9802971528979096,3.6840055034710812,0.11563761298964312,0.055493054522590325,0.055493054522590325,3.512874810905247,3.6840055034710812,20.32793378829956
8,2.761067802054315,0.05832500307564716,0.1156172233956506,2.5871255793577803,2.761067802054315,3.5168176751870375,0.07358856048885283,0.04651152326183005,0.04651152326183005,3.396717591600104,3.5168176751870375,20.236351490020752
9,2.638842485340468,0.05453125206855031,0.0983718868696278,2.4859393436120327,2.638842485340468,3.4782673795144636,0.11968423630837556,0.05858766512720139,0.05858766512720139,3.2999954636280355,3.4782673795144636,20.27635908126831
10,2.675300984426957,0.0605445418848222,0.11685762171488834,2.497898816112503,2.675300984426957,3.2880507547121782,0.08303753607957573,0.04683744981066211,0.04683744981066211,3.158175758608095,3.2880507547121782,20.405505895614624
