epoch,train_loss,train_l1,train_nmse,train_mrstft,train_total,val_loss,val_nmse,val_mae,val_l1,val_mrstft,val_total,time
1,8.101681750450792,0.17806594297388795,1.3502008701027786,6.5734149342672445,8.101681750450792,6.503557079440945,0.2666985298414807,0.08734947643600978,0.08734947643600978,6.149509035623991,6.503557079440945,32.34615707397461
2,4.697872301180207,0.10713100025200274,0.35326847494400515,4.237472828640881,4.697872301180207,5.263254428957845,0.23022896878339433,0.08505602090895831,0.08505602090895831,4.947969462845352,5.263254428957845,29.525514364242554
3,4.064539039594085,0.08894131008590044,0.24392554613144432,3.731672180601325,4.064539039594085,4.408549330391726,0.11004332076389711,0.05706828738470654,0.05706828738470654,4.241437742998312,4.408549330391726,30.345184803009033
4,3.6751959244726824,0.07298934206881054,0.1726586816221436,3.429547903230624,3.6751959244726824,4.73969028022263,0.1923897296681509,0.07010310720447656,0.07010310720447656,4.477197436185984,4.73969028022263,29.397321939468384
5,3.231150948035606,0.06286263407008898,0.13416455371446342,3.0341237634618285,3.231150948035606,4.340187967478574,0.11881356129607001,0.05479145651826492,0.05479145651826492,4.16658292890905,4.340187967478574,28.829046487808228
6,3.354475912344883,0.06712101864446682,0.1512083466230319,3.1361465455684687,3.354475912344883,4.401990183107146,0.1281217912232483,0.060757398687221194,0.060757398687221194,4.213110987956707,4.401990183107146,28.884867906570435
7,3.067097054693012,0.056711767808810015,0.11296865330195205,2.8974166316973418,3.067097054693012,3.6279217381398756,0.05935349521114604,0.03863618154447157,0.03863618154447157,3.529932053862037,3.6279217381398756,28.667948246002197
8,2.799585639876357,0.053644231140890605,0.09579025248033433,2.650151162666787,2.799585639876357,3.4444045293462144,0.0698451552089754,0.046202870965986464,0.046202870965986464,3.3283565096802765,3.4444045293462144,28.66463851928711
9,2.723410335195017,0.052953980210055394,0.0980680638634826,2.5723882878760733,2.723410335195017,3.4285445429466583,0.07066633218674215,0.04515401400871329,0.04515401400871329,3.312724185186428,3.4285445429466583,28.682198762893677
10,2.5796473824170483,0.052458612814763314,0.0895758320393157,2.4376129390075705,2.5796473824170483,3.366167567588471,0.09365595361361137,0.052382803634627835,0.052382803634627835,3.2201288100127337,3.366167567588471,28.798301219940186
